leisure	name	sport	lat	lon	type	id	height	climbing:rock	natural	climbing	climbing:bolted	climbing:orientation	climbing:quality	climbing:sport	climbing:grade:french:max	climbing:grade:french:min	climbing:length	climbing:crag	climbing:grade:french:mean
outdoor_climbing_area		climbing	11.7464793	46.4756942	Feature	node/3680468224													
outdoor_climbing_area	Fehrmannverschneidung	climbing	10.8922197	46.161181	Feature	node/3701539885													
outdoor_climbing_area	Nikolas Tesla	climbing	10.9472034	45.9795231	Feature	node/3780773642													
outdoor_climbing_area		climbing	10.6442281	45.8622226	Feature	node/3810570582													
outdoor_climbing_area		climbing	10.9128276	45.8751919	Feature	node/3976203459													
outdoor_climbing_area	Sas dei 4 pini	climbing	10.980794	45.857271	Feature	node/4018391160			stone										
outdoor_climbing_area	Zauberfee	climbing	10.8999947	45.944746	Feature	node/4171979698								yes					8a+
outdoor_climbing_area	Demetra	climbing	10.9002277	45.9452617	Feature	node/4175487130								yes					8a+
outdoor_climbing_area	Nereidi	climbing	10.9002677	45.9453701	Feature	node/4175487131								yes					VI+
outdoor_climbing_area	Parete di Sherwood	climbing	10.9153476	45.9760742	Feature	node/4187041689				crag									
outdoor_climbing_area		climbing	10.9145242	45.9732977	Feature	node/4187041861													
outdoor_climbing_area	Via Caldo Inverno	climbing	10.8935071	45.9372116	Feature	node/4189049310													
outdoor_climbing_area	Gino Gianna	climbing	10.9167551	45.995096	Feature	node/4199421181				route_bottom									
outdoor_climbing_area	Man Ilia	climbing	10.9172406	45.9954854	Feature	node/4199421188				route_bottom									
outdoor_climbing_area	Settore Curva	climbing	10.5261344	45.9956779	Feature	node/4264858492		granite											
outdoor_climbing_area	La Larga di Saone	climbing	10.7607701	46.0277741	Feature	node/4294210350													
outdoor_climbing_area	Società Alpinisti Tridentini - Sezione di Riva del Garda	climbing	10.8398569	45.8864943	Feature	node/4409839047													
outdoor_climbing_area	Falesia La Curva	climbing	11.6515574	46.0131837	Feature	node/4449216209								38	8a	5a			
outdoor_climbing_area	Falesia San Silvestro	climbing	11.7705666	46.13886	Feature	node/4460286024													
outdoor_climbing_area	Falesia Castel Pietra	climbing	11.8595927	46.1896555	Feature	node/4460287991													
outdoor_climbing_area		climbing	10.5380379	45.8030167	Feature	node/4473168940													
outdoor_climbing_area	Falesia Calisio storica	climbing	11.1358752	46.0973349	Feature	node/4498519643	20	limestone		crag	2 m	s	solid	10	7b	5c+	20 m	Calisio storica	6b
outdoor_climbing_area	Falesia Drago Nascosto	climbing	11.1381926	46.096285	Feature	node/4498519667		limestone		crag	yes	s					20 m	Drago nascosto	
outdoor_climbing_area	Falesia Lo scudo	climbing	11.1363687	46.0966003	Feature	node/4498520689	20	limestone		crag	yes	s	solid				20 m	Lo scudo	
outdoor_climbing_area	Falesia Makkiodromo	climbing	11.1512152	46.0947709	Feature	node/4499029736	25	limestone		crag	2 m	s	solid	10	6b	5a	20 m	Makkiodromo	5b
outdoor_climbing_area	Falesia Sass Taià	climbing	11.7694191	46.1275823	Feature	node/4589722214													
outdoor_climbing_area	"Falesia ""Servis"""	climbing	11.0657594	45.9432901	Feature	node/4597900600													
outdoor_climbing_area	Falesia Mescalisio	climbing	11.1471862	46.0949739	Feature	node/4795453547	25	limestone		crag	2 m	s	solid	10	6b	5b	18 m	Mescalisio	5c
outdoor_climbing_area	Porci con le Ali	climbing	10.8996901	45.9439639	Feature	node/4849878057								yes					6b
outdoor_climbing_area	Falesia Finestron	climbing	11.1754292	46.088669	Feature	node/4880538082													
outdoor_climbing_area	Falesia di Zambana	climbing	11.0737738	46.137926	Feature	node/4880622851													
outdoor_climbing_area	Falesia Salina	climbing	11.7083822	46.1703418	Feature	node/4911193409													
outdoor_climbing_area		climbing	10.510582	46.0356958	Feature	node/4960356098			stone										
outdoor_climbing_area	Falesia Sasso dei Matti	climbing	11.1525488	46.0932132	Feature	node/5214714011		limestone		crag	2 m		solid	5	6a+	5a	10	Sasso dei Matti	5c
outdoor_climbing_area	Falesia Castel Madruzzo	climbing	10.9918905	46.037935	Feature	node/5264270906													
outdoor_climbing_area	Falesia dei Forti	climbing	11.1684501	46.0813355	Feature	node/5501538122								yes					
outdoor_climbing_area	Falesia Tradpel	climbing	11.1607575	46.0913923	Feature	node/5501703593													
outdoor_climbing_area		climbing	10.5669863	45.837863	Feature	node/5590944670													
outdoor_climbing_area	Falesia Promeghin	climbing	10.9047434	46.0709772	Feature	node/5663265081													
outdoor_climbing_area		climbing	11.0995015	46.0663462	Feature	node/5714743734													
outdoor_climbing_area	Pala Patéch	climbing	11.645481	46.449837	Feature	node/5796953499													
outdoor_climbing_area	Torre Estrema, Südkante	climbing	11.6284273	46.4629058	Feature	node/5796953535			yes										
outdoor_climbing_area	Falesia Crozi di Sella	climbing	11.4406623	46.0168511	Feature	node/5840055901			rock										
outdoor_climbing_area	Falesia Cartoon Network	climbing	11.1542022	46.0932208	Feature	node/6055108997	12	limestone		crag	1m		solid	20	6a	4c	12	Cartoon Network	5a
outdoor_climbing_area	Falesia Schizzolandia	climbing	11.0963369	46.0835049	Feature	node/6058200834													
outdoor_climbing_area	Falesia Bassilandia	climbing	10.959913	46.0556875	Feature	node/6103356415													
outdoor_climbing_area	Piste dei dinosauri	climbing	11.0288102	45.8419066	Feature	node/6340090581		limestone						yes					
outdoor_climbing_area	Falesia dry-tooling	climbing	11.185505	46.1559206	Feature	node/6372974565													
outdoor_climbing_area	Falesia Martino Giovannini - Rizzolaga	climbing	11.2681156	46.1504777	Feature	node/6380813927													
outdoor_climbing_area	Falesia arrampicata	climbing	11.3180178	46.2007728	Feature	node/6402783970													
outdoor_climbing_area		climbing	10.5243927	45.9984001	Feature	node/6538138017													
outdoor_climbing_area		climbing	10.5221075	45.9987336	Feature	node/6538138047													
outdoor_climbing_area		climbing	10.6640319	46.1641429	Feature	node/6710983949													
outdoor_climbing_area	Passo Fedaia Sector B	climbing	11.8608881	46.4565245	Feature	node/6743607131													
outdoor_climbing_area	Passo Fedaia Sector C	climbing	11.8602398	46.4567257	Feature	node/6743620904													
outdoor_climbing_area	Sant' Antonio	climbing	10.9526965	46.1432741	Feature	node/6747033527													
outdoor_climbing_area		climbing	11.0982081	46.2297649	Feature	node/6806480796													
outdoor_climbing_area	Falesia La Placca che spacca	climbing	11.1695592	46.0895947	Feature	node/7167002886		limestone		crag	2.5	south	solid	12	5c	4c	25		5a
outdoor_climbing_area	Falesia C'era una volta	climbing	11.1433305	46.0953575	Feature	node/7167017913	10	limestone		crag	2 m	s	solid	6	5c	4c	12 m	La Placca che spacca	5a
outdoor_climbing_area	Falesia La Rocchetta	climbing	11.4553569	46.0408926	Feature	node/7517775586			rock										
outdoor_climbing_area		climbing	10.6032	45.8865197	Feature	node/7613218757		limestone											
outdoor_climbing_area	Falesia Il Posto Delle Fragole	climbing	10.9445335	46.0413318	Feature	node/7657235082													
outdoor_climbing_area		climbing	10.9184449	45.8714713	Feature	node/7737896074													
outdoor_climbing_area		climbing	11.06822	46.2364676	Feature	node/8567017248													
outdoor_climbing_area		climbing	11.0163491	45.9225076	Feature	node/8618026600		limestone			yes			yes					
outdoor_climbing_area		climbing	11.0473672	45.8766226	Feature	node/8669034087		limestone	cliff					yes					
outdoor_climbing_area	Campana	climbing	11.0474154	45.8768654	Feature	node/8669034088		limestone	cliff					yes					
outdoor_climbing_area	Val Scodella	climbing	11.0403056	45.872055	Feature	node/8669042964		limestone	cliff					yes					
outdoor_climbing_area	Val Scodella	climbing	11.0370945	45.8712055	Feature	node/8669042965		limestone	cliff					yes					
outdoor_climbing_area	Falesia	climbing	11.2548205	46.0556206	Feature	node/8796096115													
outdoor_climbing_area	Val d Algone	climbing	10.8113849	46.0795545	Feature	node/8944618661													
outdoor_climbing_area	Dos Pelà	climbing	10.9487644	45.9681459	Feature	node/9019705359													
