leisure	name	sport	lat	lon	id	surface
pitch		soccer	10.794775679999999	46.31320784	way/94575301	
pitch		soccer	10.738784120000002	46.30951227999999	way/94816263	grass
pitch		soccer	10.58360438	46.25683234	way/94830223	
pitch		soccer	11.1524285	45.89218906	way/95099283	
pitch		soccer	11.557210699999999	46.28245361999999	way/95156367	
pitch		soccer	11.019865399999999	46.44043748	way/95467321	
pitch		soccer	10.8124215	46.30428756	way/96192660	
pitch		soccer	11.006138539999998	46.17057656	way/97305904	
pitch		soccer	10.95596692	46.14185512	way/97564457	grass
pitch		soccer	11.066266860000002	46.171250380000004	way/97564584	
pitch		soccer	10.676438860000001	45.987252760000004	way/98181954	
pitch		soccer	10.60560452	45.89162028	way/98309178	
pitch		soccer	11.043853583333332	46.08789686666666	way/98371326	
pitch	Campo sportivo Meano	soccer	11.12006636	46.12914886	way/98372483	
pitch		soccer	11.07194856	46.3235727	way/98524822	
pitch		soccer	11.093788960000001	46.14892217999999	way/98633668	
pitch		soccer	11.10981994	46.099552800000005	way/99012740	
pitch		soccer	11.129576740000001	46.05084394000001	way/99027005	
pitch		soccer	11.18551768	46.14379598	way/99055766	
pitch		soccer	11.422781228571427	46.047053285714284	way/99760313	
pitch		soccer	11.42013714	46.04591434	way/99760328	
pitch		soccer	10.641393779999998	45.94154594	way/100873554	artificial_turf
pitch	Campo Sportivo Preore	soccer	10.7546268	46.04524276	way/101192975	grass
pitch		soccer	11.0527115	46.07007724	way/101328194	grass
pitch		soccer	11.05336734	46.07046064	way/101328207	artificial_turf
pitch		soccer	10.603548	45.91959270000001	way/101882258	
pitch		soccer	11.2129367	46.12065932	way/102219043	
pitch		soccer	11.18191925	46.09114473333333	way/102219267	
pitch		soccer	11.2135276	46.12042276	way/102219443	
pitch		soccer	11.2426569	46.06451522	way/102637360	
pitch		soccer	11.22938332	46.06600312	way/102637384	
pitch		soccer	11.23325964	46.07169058	way/102637441	
pitch		soccer	11.26835736	45.98486362	way/104242867	grass
pitch		soccer	11.61552698	46.059827600000006	way/104254999	
pitch		soccer	11.60344482	46.0675368	way/104255009	
pitch	centro sportivo Parti	soccer	11.62823264	46.057776080000004	way/104255016	grass
pitch		soccer	11.586515460000001	46.069829119999994	way/104261659	
pitch		soccer	11.562554642857146	46.04488511428571	way/104290320	
pitch		soccer	11.55968752	46.081800380000004	way/104308398	
pitch	Campo sportivo	soccer	11.499818687499998	46.0663288125	way/104310792	grass
pitch		soccer	11.49296446	46.067532	way/104311830	
pitch		soccer	11.484435659999999	46.07030551999999	way/104312186	
pitch		soccer	11.449183620000001	46.07740292	way/104314197	
pitch		soccer	11.449030480000001	46.0768956	way/104314202	
pitch		soccer	11.492518283333334	46.05307618333333	way/104391914	
pitch		soccer	11.067454559999998	46.39753876	way/105579163	
pitch		soccer	11.149210660000001	46.40400328	way/105579164	
pitch		soccer	11.051589719999999	46.3930968	way/105579174	
pitch		soccer	10.96864968	46.4101396	way/105585133	artificial_turf
pitch		soccer	11.122253920000002	46.39385076	way/105585197	
pitch		soccer	11.01698796	46.40412121999999	way/105585198	
pitch		soccer	11.086996800000001	46.419929200000006	way/105591709	
pitch		soccer	10.99756782	46.0726871	way/107236486	grass
pitch		soccer	11.09531156	45.97122216	way/107726217	grass
pitch		soccer	11.09438526	45.97007466000001	way/107726245	
pitch		soccer	11.248046579999999	46.052399480000005	way/110288095	
pitch		soccer	11.072278299999999	46.36510079999999	way/112398323	
pitch		soccer	11.076286300000001	46.37620271428572	way/112398370	
pitch		soccer	11.07312614	46.29494118	way/112411483	
pitch		soccer	11.073010579999998	46.171928560000005	way/112510663	
pitch		soccer	11.562189733333334	46.28606353333333	way/113724777	
pitch		soccer	11.094673839999999	46.35452918	way/114107546	
pitch		soccer	10.66634364	46.353879660000004	way/114275749	grass
pitch		soccer	11.11096246	46.349667759999996	way/114282023	
pitch		soccer	11.115642260000001	46.34730671999999	way/114282100	
pitch		soccer	11.11508894	46.336646200000004	way/114282203	
pitch		soccer	11.03016314	46.33392882	way/114296294	
pitch		soccer	11.07850104	45.92920328000001	way/114459227	
pitch		soccer	11.11594408	46.45450476	way/115091957	
pitch		soccer	11.14318416	46.15941538	way/115340874	
pitch		soccer	11.154847199999999	46.156260599999996	way/115340921	artificial_turf
pitch		soccer	11.16773958	46.1782741	way/115347424	
pitch		soccer	11.169765459999999	46.15982408000001	way/115347441	
pitch		soccer	11.15979642	46.158852579999994	way/115347458	grass
pitch		soccer	11.15773738	46.1686309	way/115347469	grass
pitch		soccer	11.131455599999999	46.07262902	way/115788612	grass
pitch		soccer	11.499807045454547	46.06587809090909	way/116703951	grass
pitch		soccer	11.11426144	46.064195160000004	way/118423426	artificial_turf
pitch		soccer	11.135461379999999	46.13280282	way/118492482	
