leisure	name	sport	lat	lon	id	surface	region
pitch		volleyball	11.15170838	45.89236832	way/1151970270		region_1
pitch		volleyball	11.02868594285714	46.343149100000005	way/1157488234	artificial_turf	region_1
pitch		volleyball	11.174425	46.4128698	way/1184853503	grass	region_1
pitch		volleyball	11.11381188	46.08002754	way/1186979083		region_1
pitch		volleyball	10.849682800000002	45.88183002000001	way/1200947650		region_1
pitch		volleyball	11.1050694	46.0176738	node/279578864		region_1
pitch		volleyball	10.9848612	46.0457061	node/6722934357	grass	region_1
pitch	Campo Don G. B. Giacomelli	soccer	11.076390385714287	45.87070057142858	relation/1905184		region_1
pitch		soccer	11.1217339	46.0437813	way/24875151		region_1
pitch	Campo Calcio Talamo	soccer	11.1143045	46.051935660000005	way/24875219		region_1
pitch		soccer	11.11379096	46.0505533	way/24875245		region_1
pitch	Campo Calcio Orione	soccer	11.11610512	46.05394308	way/24875255		region_1
pitch	"Campo ""Carlo Prada"""	soccer	11.11885388	46.080761540000005	way/24875531	artificial_turf	region_1
pitch		soccer	11.1418251	46.07810669999999	way/24876389		region_1
pitch		soccer	11.148972416666666	46.07397496666667	way/24876439		region_1
pitch		soccer	11.13715454	46.04449528000001	way/24876817		region_1
pitch	campo da calcio giovanile	soccer	11.1440263	46.051273425	way/24876850		region_1
pitch	Campo Sintetico	soccer	11.149601819999996	46.05646048	way/24876852	artificial_turf	region_1
pitch		soccer	11.12906512	46.06353136	way/24913885		region_1
pitch		soccer	11.107588281818185	46.076355281818174	way/24915136		region_1
pitch		soccer	11.12239236	46.0623501	way/24917057	artificial_turf	region_1
pitch		soccer	10.860893536363635	45.884894009090914	way/24919585	concrete	region_1
pitch		soccer	11.21629126	46.08628956	way/25149768		region_1
pitch	Mille pini	soccer	11.24528094	46.14248906	way/25305967	grass	region_1
pitch		soccer	11.129078760000002	46.00802834	way/25387461	artificial_turf	region_1
pitch	Campo Calcio Ravina	soccer	11.1086793	46.03707502	way/25468184		region_1
pitch	Campo Naturale	soccer	11.1506475	46.05649998	way/25659496	grass	region_1
pitch		soccer	11.19753638	45.9993922	way/26432039		region_1
pitch	campo sportivo Isera	soccer	11.01159724	45.88160226	way/27142264	grass	region_1
pitch		soccer	11.02824644	45.86769562	way/27651399		region_1
pitch		soccer	11.13917576	46.41983734	way/28106389		region_1
pitch		soccer	11.23260832	46.06443951999999	way/28920846		region_1
pitch		soccer	11.23206098	46.07100208000001	way/28924458		region_1
pitch		soccer	10.98447188	45.85331314	way/30005299		region_1
pitch		soccer	11.13463262	46.19072564	way/30499060	grass	region_1
pitch	Campo oratorio	soccer	11.022457157142854	45.886610871428566	way/31287652	grass	region_1
pitch	Campo da Calcio di Daiano	soccer	11.44658758	46.3095524	way/33889542		region_1
pitch	Campo delle Fucine	soccer	11.0299410875	45.883868025	way/35611615	artificial_turf	region_1
pitch	Centro Sportivo Mauro Marzari	soccer	11.17331196	45.91950786	way/37041069		region_1
pitch		soccer	10.848271583333334	45.89302743333334	way/37570629	grass	region_1
pitch		soccer	11.03686686	46.1101555	way/37763085		region_1
pitch		soccer	11.1003164	46.13992298000001	way/37764560		region_1
pitch		soccer	11.24320452	46.0068303	way/37794967		region_1
pitch		soccer	11.21639434	45.99699052	way/37810516		region_1
pitch	Campo Calcetto	soccer	11.21928506	45.99288342	way/37811734	tartan	region_1
pitch		soccer	11.10102988	46.14078946	way/37831680		region_1
pitch		soccer	11.098036257142857	46.064321771428574	way/37855565	artificial_turf	region_1
pitch		soccer	11.224557	46.17311984	way/37879139		region_1
pitch	"Campo ""Mirko Bonetti"""	soccer	11.11920384	46.0929152	way/37937050	artificial_turf	region_1
pitch	Campetto della Chiesa	soccer	10.87816916	45.86918086	way/38096784	grass	region_1
pitch		soccer	11.10483396	46.13754914	way/38180403		region_1
pitch		soccer	11.13824418	46.04194906	way/38595624	grass	region_1
pitch	Campetto Sintetico	soccer	11.14994792	46.056939920000005	way/39120308	artificial_turf	region_1
pitch		soccer	11.27944088	46.0795615	way/39212484	grass	region_1
pitch		soccer	11.30496614	46.16333004	way/39819369	grass	region_1
pitch		soccer	11.41314652	46.26968224	way/39836167		region_1
pitch		soccer	11.253898239999998	46.036016020000005	way/40123808		region_1
